dataset_id,relative_path,source_page,direct_download,sha256,downloaded_on,usage
CRIME_LSOA_HIST,data/raw/crime/mps_lsoa_level_crime_historical_2019_03_to_2024_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/ypt/MPS%20LSOA%20Level%20Crime%20(Historical).csv,6B310C4CC0D613BC177CCE55C7C0C2BB73252384DBD11509139DB397DA8707EF,2026-09-04,core
CRIME_LSOA_RECENT,data/raw/crime/mps_lsoa_level_crime_recent_2024_08_to_2026_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/gtj/MPS%20LSOA%20Level%20Crime%20(most%20recent%2024%20months).csv,A692F3AD724FBAC1173B3713DBF9872A9425969DF4BB293577D666D0C297E3F1,2026-09-04,core
CRIME_WARD_HIST,data/raw/crime/mps_ward_level_crime_historical_2010_04_to_2024_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/m80/MPS%20Ward%20Level%20Crime%20(Historical).csv,7D69FCC8098E35B15667A1184699272414B2AA2158B37924F7812441FC48B6B8,2026-09-04,core
CRIME_WARD_RECENT,data/raw/crime/mps_ward_level_crime_recent_2024_08_to_2026_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/k6s/MPS%20Ward%20Level%20Crime%20(most%20recent%2024%20months).csv,12EBDB6FD0FB7484B376BF86F2B52C58A7AF667125A1CCAF77111032F6CB41DD,2026-09-04,core
CRIME_BOROUGH_HIST,data/raw/crime/mps_borough_level_crime_historical_2010_04_to_2024_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/cpz/MPS%20Borough%20Level%20Crime%20(Historical).csv,32B305A750BBD1B9889C1A9EB6B4E91E81DBCF98EAB987303D51DB973BE24D88,2026-09-04,core
CRIME_BOROUGH_RECENT,data/raw/crime/mps_borough_level_crime_recent_2024_08_to_2026_07.csv,https://data.london.gov.uk/dataset/mps-recorded-crime-geographic-breakdown-exy3m,https://data.london.gov.uk/download/exy3m/e4x/MPS%20Borough%20Level%20Crime%20(most%20recent%2024%20months).csv,BFD709B85530F10900C28CB7AC8CBBD4875B823D8CF2585DA18A6C5DEC1DF3EE,2026-09-04,core
POPULATION_TS001,data/raw/population/census2021-ts001.zip,https://www.nomisweb.co.uk/sources/census_2021_bulk,https://www.nomisweb.co.uk/output/census/2021/census2021-ts001.zip,B724C1208B7628C7C558156FCC619446486353A12D0B6E0BF388ADD225653DC6,2026-09-05,core
LSOA_BOUNDARY,data/raw/boundaries/LB_LSOA2021_shp.zip,https://data.london.gov.uk/dataset/statistical-gis-boundary-files-for-london-20od9,https://data.london.gov.uk/download/20od9/2a5e50ac-c22e-4d68-89e2-85f1e0ff9057/LB_LSOA2021_shp.zip,8DC38BE29E8CEC6508A16F5825F8666DDE25AE743D73F0ACC63630D00EA93C47,2026-09-04,core
DWO_WORKFORCE,data/raw/security/MPS_Dedicated_Ward_Officer_Abstractions_and_Strengths.xlsx,https://data.london.gov.uk/dataset/mps-dedicated-ward-officer-abstractions-and-strengths-e16kd,https://data.london.gov.uk/download/e16kd/kxn/DWO_Abstraction.xlsx,0BF2E225268AF4584DE43428F8F28029165CFB712CBF4F3404E1E271D160F14E,2026-09-05,core
FRONT_COUNTER_TRAVEL_2013,data/raw/security/lsoa_police_front_counter_travel_times_2013.zip,https://data.london.gov.uk/dataset/police-front-counter-access-times-2g1p1,https://data.london.gov.uk/download/2g1p1/37a99d0f-01ae-4ab1-8976-892d61f70601/lsoa-police-front-counter-travel-times-2013.zip,23FD605539BF87EAC913007F8FD80C806A404DB78A97C9BC2527E2B30A330CD2,2026-09-04,optional_historical
FRONT_COUNTER_POINTS_2013,data/raw/security/police_front_counter_locations_2013.csv,https://data.london.gov.uk/dataset/police-front-counter-access-times-2g1p1,https://data.london.gov.uk/download/2g1p1/5acb6da0-4004-4c89-a99c-5673a2bd5a54/police-counters.csv,F89C8C299FD042C098E869F60F42325BF5AA981830F084274F9AEF12DD2D5722,2026-09-04,optional_historical
