borough_name,model,MAE,RMSE,R2
Barking and Dagenham,Linear Regression,93.18097029878679,126.95052963718412,-0.14237506173838876
Barking and Dagenham,Seasonal naive,75.33333333333333,88.6303183641655,0.44319349770222216
Barnet,Linear Regression,89.6866878414482,113.7008064709656,-0.336248832491586
Barnet,Seasonal naive,116.16666666666667,140.71424945612296,-1.0466161916328587
Bexley,Linear Regression,100.8652597290651,122.58415837229532,-0.5774189044106472
Bexley,Seasonal naive,76.25,87.53332698654458,0.19568676878710056
Brent,Linear Regression,136.97276718370097,170.52133362085613,0.2709669119218481
Brent,Seasonal naive,119.16666666666667,159.30944730303975,0.3636839752009594
Bromley,Linear Regression,107.61218829570943,129.6545886631067,-0.07971288658127729
Bromley,Seasonal naive,80.58333333333333,99.29039899876187,0.36679109587055325
Camden,Linear Regression,750.4674400114318,768.1090510502793,-17.723565599090414
Camden,Seasonal naive,274.6666666666667,330.1731868782402,-2.4596040314426437
Croydon,Linear Regression,207.9125317529772,254.3371706869259,-0.3349083433977875
Croydon,Seasonal naive,185.5,231.24337828357378,-0.10349504356265027
Ealing,Linear Regression,126.88900974678934,161.4140530234356,0.24065734829739893
Ealing,Seasonal naive,86.58333333333333,120.71626512888255,0.5752956689196231
Enfield,Linear Regression,127.80455762778547,151.0635441756183,-0.28123611850516417
Enfield,Seasonal naive,172.75,191.1040292615517,-1.0504515955466225
Greenwich,Linear Regression,133.8043652484614,146.82520677304757,0.20088482282969145
Greenwich,Seasonal naive,134.16666666666666,146.2081849054058,0.2075871527892188
Hackney,Linear Regression,150.70351772095088,171.92302335775292,0.146177687052506
Hackney,Seasonal naive,110.16666666666667,159.39155142813144,0.2661116121722551
Hammersmith and Fulham,Linear Regression,183.8297291199946,189.46435074020593,-3.149965469211807
Hammersmith and Fulham,Seasonal naive,92.75,110.4004076079432,-0.40906434250921664
Haringey,Linear Regression,161.26508224622705,193.076118056954,-0.08482334733013519
Haringey,Seasonal naive,167.83333333333334,190.5190279210977,-0.056278938927545985
Harrow,Linear Regression,57.84115555158794,65.48181857791647,0.017124702918210555
Harrow,Seasonal naive,74.41666666666667,87.85451989890257,-0.769233585530976
Havering,Linear Regression,178.59829289686513,187.8317438348341,-1.4899430571035799
Havering,Seasonal naive,71.83333333333333,91.63969300108624,0.4073221654789795
Hillingdon,Linear Regression,95.92256215961895,110.18403602379712,0.02337815521112263
Hillingdon,Seasonal naive,91.08333333333333,113.6716763314415,-0.03942608279834925
Hounslow,Linear Regression,159.61206125762348,172.7545939706062,-1.0390842071257897
Hounslow,Seasonal naive,83.83333333333333,97.55169569686286,0.3498020489734257
Islington,Linear Regression,209.85371389486556,231.0884479060634,0.18713527347271797
Islington,Seasonal naive,164.5,207.09216949625755,0.3471864466404968
Kensington and Chelsea,Linear Regression,424.9152119494891,436.4413841669865,-1.159560356161113
Kensington and Chelsea,Seasonal naive,190.58333333333334,204.00674008473348,0.5281515533341249
Kingston upon Thames,Linear Regression,73.99957143605262,81.7731906428179,-0.11242218120316827
Kingston upon Thames,Seasonal naive,59.166666666666664,80.06351645204367,-0.06639248147228227
Lambeth,Linear Regression,199.35877221233773,234.15773728120197,0.31644167829730985
Lambeth,Seasonal naive,157.66666666666666,207.55160000989312,0.4629549466936045
Lewisham,Linear Regression,134.07490500573203,168.80653833342575,0.46221457753314266
Lewisham,Seasonal naive,141.91666666666666,200.67407239933448,0.24000099080867676
Merton,Linear Regression,113.97209616980378,128.9483840692032,-5.069667587492671
Merton,Seasonal naive,95.33333333333333,109.69123331728323,-3.392147717017674
Newham,Linear Regression,177.94972492150532,224.54958520767585,-0.6479431210644333
Newham,Seasonal naive,110.16666666666667,131.59407281484982,0.43403397591876347
Redbridge,Linear Regression,82.3351055646361,93.12375341485081,0.10969065439298853
Redbridge,Seasonal naive,94.75,107.96257067459382,-0.19664800645645175
Richmond upon Thames,Linear Regression,88.01284756279163,101.27549291707176,-1.4167116100286719
Richmond upon Thames,Seasonal naive,90.25,118.06248345685432,-2.2842781126666534
Southwark,Linear Regression,235.49664321636234,262.0211566967301,0.22461615326361206
Southwark,Seasonal naive,218.41666666666666,284.4370170471253,0.08627341455374615
Sutton,Linear Regression,63.17304531680143,70.12367304211445,0.3627146039174257
Sutton,Seasonal naive,51.833333333333336,64.88451279003334,0.45438443649245075
Tower Hamlets,Linear Regression,144.24045244884454,177.26167067717495,0.5339954963881266
Tower Hamlets,Seasonal naive,154.66666666666666,209.12077849893348,0.35143305358316956
Waltham Forest,Linear Regression,179.97601174760712,198.94092912461963,-4.709550414213106
Waltham Forest,Seasonal naive,155.5,196.38822096381782,-4.563966418882367
Wandsworth,Linear Regression,94.26243843106276,110.17735622346288,0.6463074573885202
Wandsworth,Seasonal naive,114.58333333333333,153.1390979904653,0.3166969196580236
Westminster,Linear Regression,3095.7492036873573,3189.4754623892945,-16.601082179619247
Westminster,Seasonal naive,1223.0,1349.8666600816541,-2.1526995294671996
